# Quelle: Röhr, M. u.a.: Statistik für Soziologen, Pädagogen, Psychologen und Mediziner, Band 2, 1983, Harri Deutsch, S. 256-257
#
# In ihrer Untersuchung zur Bedutung ausgewählter Komponenten der intellektuellen Lernfähigkeit ermittelte MÜLLER (1979) 19 Einflussgrößen bezüglich
# ihrer Wirkung auf die beiden Zielgrößen "Prätestleistung im Lenrtest, Schlussfolgerndes Denken" und "Posttestleistung" zum gleichen Lerntest.
#
# Y: Posttestleistung
# X1: Leistung im Fach Mathematik
# X2: Leistung im Fach Deutsch
# X3: Informationssuchangst
# X4: Erkenntnisstreben
# X5: Informationsverhalten am Rastertestgerät
# X6: begriffanaloges Klassifizieren
# X7: kognitive Impulsivität/Reflexivität
# 

 59  9  7   2  24  8   5  4
 63  5  5   7  19  8   5  3
 66  7  5   1  27  9   9  2
 66  9  9  16  11  8   5  4
 63  7  3   2  29  9   6  6
 40  3  1  13  19  4  15 12
 37  3  1   6  14  2  15  5
 63  9  7   2  25  9   5  5
 40  5  3   9  20  5  15 11
 37  5  3  12   8  6  15  4
 70  9  9   6  25  8   5  4
 76  9  9   1  24  5   6  1
 40  7  7   8   8  7  15  3
 70  7  3   2  28  7   6  5
 63  7  5   2  24  7   7  3
 40  7  5   4  23  1  15  9
 40  3  3  15  16  4  15  7
 40  3  3  16  18  4   8  5
 63  7  7  10  14  4   5  7
 63  9  9  16  21  8   6  4
 37  5  5  12   4  7   8  5
 29  5  3  14  17  3  15 16
 37  3  5   6  16  3  15  8
 40  3  3  16  13  4  15 10
 66  9  9  13  12  4   6  8
 63  9  7   9  12  8   6  2
 37  3  3   7  14  1  15  8
 37  3  3   9  20  4  15  9
 29  3  1  11  12  1  15  9
 66  9  9   6  23  4   6  4
 66  9  9   4  29  7   4  4
 80  9  9  13  25  9   7  5
 29  5  7  10  18  1  15  3
 63  9  7  14  14  8   7  4
 34  7  5  13  19  4  15  5
 40  3  3  18  13  2  15  8
 89  9  9  11  15  8   6  8
 41  5  3  18  15  2  15  4
 40  5  5  10  13  1  15  8
 59  7  7   1  25  9   6  1
 
